Project: hello_world
Revision: hello_world
Flow Start Date: Tue Mar 15 19:13:45 GMT 2016
Flow End Date: Tue Mar 15 21:27:06 GMT 2016

Detailed Results
Point,base-slow-1200mV-85C,base-slow-1200mV-0C,base-fast-1200mV-0C,1-slow-1200mV-85C,1-slow-1200mV-0C,1-fast-1200mV-0C (Best),2-slow-1200mV-85C,2-slow-1200mV-0C,2-fast-1200mV-0C,3-slow-1200mV-85C,3-slow-1200mV-0C,3-fast-1200mV-0C,4-slow-1200mV-85C,4-slow-1200mV-0C,4-fast-1200mV-0C,5-slow-1200mV-85C,5-slow-1200mV-0C,5-fast-1200mV-0C,6-slow-1200mV-85C,6-slow-1200mV-0C,6-fast-1200mV-0C,7-slow-1200mV-85C,7-slow-1200mV-0C,7-fast-1200mV-0C,8-slow-1200mV-85C,8-slow-1200mV-0C,8-fast-1200mV-0C,9-slow-1200mV-85C,9-slow-1200mV-0C,9-fast-1200mV-0C,10-slow-1200mV-85C,10-slow-1200mV-0C,10-fast-1200mV-0C,11-slow-1200mV-85C,11-slow-1200mV-0C,11-fast-1200mV-0C,12-slow-1200mV-85C,12-slow-1200mV-0C,12-fast-1200mV-0C,13-slow-1200mV-85C,13-slow-1200mV-0C,13-fast-1200mV-0C,14-slow-1200mV-85C,14-slow-1200mV-0C,14-fast-1200mV-0C,15-slow-1200mV-85C,15-slow-1200mV-0C,15-fast-1200mV-0C,16-slow-1200mV-85C,16-slow-1200mV-0C,16-fast-1200mV-0C,17-slow-1200mV-85C,17-slow-1200mV-0C,17-fast-1200mV-0C,18-slow-1200mV-85C,18-slow-1200mV-0C,18-fast-1200mV-0C,19-slow-1200mV-85C,19-slow-1200mV-0C,19-fast-1200mV-0C,20-slow-1200mV-85C,20-slow-1200mV-0C,20-fast-1200mV-0C,21-slow-1200mV-85C,21-slow-1200mV-0C,21-fast-1200mV-0C,22-slow-1200mV-85C,22-slow-1200mV-0C,22-fast-1200mV-0C,23-slow-1200mV-85C,23-slow-1200mV-0C,23-fast-1200mV-0C,24-slow-1200mV-85C,24-slow-1200mV-0C,24-fast-1200mV-0C,25-slow-1200mV-85C,25-slow-1200mV-0C,25-fast-1200mV-0C,26-slow-1200mV-85C,26-slow-1200mV-0C,26-fast-1200mV-0C,27-slow-1200mV-85C,27-slow-1200mV-0C,27-fast-1200mV-0C,28-slow-1200mV-85C,28-slow-1200mV-0C,28-fast-1200mV-0C,29-slow-1200mV-85C,29-slow-1200mV-0C,29-fast-1200mV-0C,30-slow-1200mV-85C,30-slow-1200mV-0C,30-fast-1200mV-0C,31-slow-1200mV-85C,31-slow-1200mV-0C,31-fast-1200mV-0C,32-slow-1200mV-85C,32-slow-1200mV-0C,32-fast-1200mV-0C,33-slow-1200mV-85C,33-slow-1200mV-0C,33-fast-1200mV-0C,34-slow-1200mV-85C,34-slow-1200mV-0C,34-fast-1200mV-0C,35-slow-1200mV-85C,35-slow-1200mV-0C,35-fast-1200mV-0C,36-slow-1200mV-85C,36-slow-1200mV-0C,36-fast-1200mV-0C,37-slow-1200mV-85C,37-slow-1200mV-0C,37-fast-1200mV-0C,38-slow-1200mV-85C,38-slow-1200mV-0C,38-fast-1200mV-0C,39-slow-1200mV-85C,39-slow-1200mV-0C,39-fast-1200mV-0C,40-slow-1200mV-85C,40-slow-1200mV-0C,40-fast-1200mV-0C,41-slow-1200mV-85C,41-slow-1200mV-0C,41-fast-1200mV-0C,42-slow-1200mV-85C,42-slow-1200mV-0C,42-fast-1200mV-0C,43-slow-1200mV-85C,43-slow-1200mV-0C,43-fast-1200mV-0C,44-slow-1200mV-85C,44-slow-1200mV-0C,44-fast-1200mV-0C,45-slow-1200mV-85C,45-slow-1200mV-0C,45-fast-1200mV-0C,46-slow-1200mV-85C,46-slow-1200mV-0C,46-fast-1200mV-0C,47-slow-1200mV-85C,47-slow-1200mV-0C,47-fast-1200mV-0C,48-slow-1200mV-85C,48-slow-1200mV-0C,48-fast-1200mV-0C,49-slow-1200mV-85C,49-slow-1200mV-0C,49-fast-1200mV-0C,50-slow-1200mV-85C,50-slow-1200mV-0C,50-fast-1200mV-0C
Clock Hold: Total Keeper TNS,0.0 ns,0.0 ns,-2.709 ns,0.0 ns,0.0 ns,-2.808 ns,0.0 ns,0.0 ns,-2.699 ns,0.0 ns,0.0 ns,-2.532 ns,0.0 ns,0.0 ns,-2.598 ns,0.0 ns,0.0 ns,-2.678 ns,0.0 ns,0.0 ns,-2.621 ns,0.0 ns,0.0 ns,-2.774 ns,0.0 ns,0.0 ns,-2.73 ns,-0.018 ns,0.0 ns,-2.729 ns,0.0 ns,0.0 ns,-2.753 ns,0.0 ns,0.0 ns,-2.851 ns,0.0 ns,0.0 ns,-2.763 ns,0.0 ns,0.0 ns,-2.819 ns,0.0 ns,0.0 ns,-2.735 ns,0.0 ns,0.0 ns,-2.793 ns,0.0 ns,0.0 ns,-2.782 ns,0.0 ns,0.0 ns,-2.749 ns,0.0 ns,0.0 ns,-2.763 ns,0.0 ns,0.0 ns,-2.726 ns,0.0 ns,0.0 ns,-2.801 ns,0.0 ns,0.0 ns,-2.714 ns,0.0 ns,0.0 ns,-2.781 ns,0.0 ns,0.0 ns,-2.782 ns,0.0 ns,0.0 ns,-2.689 ns,0.0 ns,0.0 ns,-2.494 ns,0.0 ns,0.0 ns,-2.75 ns,0.0 ns,0.0 ns,-2.716 ns,0.0 ns,0.0 ns,-2.697 ns,0.0 ns,0.0 ns,-2.792 ns,0.0 ns,0.0 ns,-2.746 ns,0.0 ns,0.0 ns,-2.771 ns,0.0 ns,0.0 ns,-2.714 ns,0.0 ns,0.0 ns,-2.737 ns,0.0 ns,0.0 ns,-2.741 ns,0.0 ns,0.0 ns,-2.754 ns,0.0 ns,0.0 ns,-2.707 ns,0.0 ns,0.0 ns,-2.568 ns,0.0 ns,0.0 ns,-2.718 ns,0.0 ns,0.0 ns,-2.724 ns,0.0 ns,0.0 ns,-2.722 ns,0.0 ns,0.0 ns,-2.702 ns,0.0 ns,0.0 ns,-2.677 ns,0.0 ns,0.0 ns,-2.734 ns,0.0 ns,0.0 ns,-2.712 ns,0.0 ns,0.0 ns,-2.781 ns,0.0 ns,0.0 ns,-2.746 ns,0.0 ns,0.0 ns,-2.783 ns,0.0 ns,0.0 ns,-2.658 ns,0.0 ns,0.0 ns,-2.818 ns,0.0 ns,0.0 ns,-2.785 ns
Clock Period: Geometric Mean,33.56 ns,31.56 ns,23.33 ns,32.58 ns,30.61 ns,22.55 ns,33.91 ns,31.83 ns,23.61 ns,34.32 ns,32.25 ns,23.77 ns,32.68 ns,30.68 ns,22.69 ns,32.6 ns,30.58 ns,22.63 ns,32.97 ns,31.02 ns,22.96 ns,33.37 ns,31.32 ns,23.04 ns,32.58 ns,30.55 ns,22.57 ns,33.1 ns,31.03 ns,22.93 ns,32.75 ns,30.73 ns,22.68 ns,33.24 ns,31.34 ns,23.12 ns,32.46 ns,30.51 ns,22.59 ns,32.84 ns,30.83 ns,22.88 ns,33.0 ns,30.94 ns,22.84 ns,33.22 ns,31.22 ns,23.07 ns,32.76 ns,30.89 ns,22.83 ns,32.71 ns,30.69 ns,22.64 ns,33.82 ns,31.75 ns,23.34 ns,32.62 ns,30.64 ns,22.6 ns,33.83 ns,31.72 ns,23.22 ns,33.64 ns,31.58 ns,23.45 ns,33.36 ns,31.35 ns,23.06 ns,32.96 ns,31.01 ns,22.7 ns,33.19 ns,31.13 ns,22.9 ns,33.2 ns,31.27 ns,22.96 ns,34.18 ns,32.1 ns,23.58 ns,32.58 ns,30.69 ns,22.62 ns,32.31 ns,30.37 ns,22.3 ns,32.88 ns,31.03 ns,22.99 ns,33.03 ns,31.04 ns,22.81 ns,32.51 ns,30.5 ns,22.55 ns,33.02 ns,31.03 ns,23.0 ns,33.88 ns,31.78 ns,23.34 ns,32.83 ns,30.82 ns,22.84 ns,33.89 ns,31.91 ns,23.35 ns,32.87 ns,30.98 ns,22.68 ns,33.12 ns,31.1 ns,22.98 ns,33.54 ns,31.51 ns,23.25 ns,33.08 ns,31.07 ns,22.93 ns,33.34 ns,31.27 ns,23.14 ns,32.95 ns,30.92 ns,22.96 ns,32.79 ns,30.9 ns,22.7 ns,34.31 ns,32.19 ns,23.83 ns,33.19 ns,31.14 ns,22.89 ns,32.64 ns,30.74 ns,22.71 ns,32.99 ns,31.12 ns,22.91 ns,32.97 ns,30.98 ns,22.87 ns,32.69 ns,30.69 ns,22.68 ns,33.01 ns,31.04 ns,23.02 ns,32.69 ns,30.81 ns,22.68 ns
Clock Recovery: 'altera_reserved_tck': Per-clock Edge TNS,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns
Clock Recovery: 'altera_reserved_tck': Per-clock Keeper TNS,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns
Clock Recovery: 'altera_reserved_tck': Worst-case Slack,48.057 ns,48.319 ns,49.183 ns,48.198 ns,48.464 ns,49.275 ns,47.919 ns,48.210 ns,49.114 ns,47.737 ns,48.056 ns,48.968 ns,47.887 ns,48.180 ns,49.085 ns,47.141 ns,47.514 ns,48.623 ns,47.773 ns,48.076 ns,48.994 ns,47.660 ns,47.968 ns,48.907 ns,46.872 ns,47.286 ns,48.398 ns,48.138 ns,48.424 ns,49.236 ns,47.731 ns,48.027 ns,48.963 ns,47.819 ns,48.141 ns,49.050 ns,47.827 ns,48.125 ns,49.055 ns,47.174 ns,47.539 ns,48.633 ns,47.644 ns,47.960 ns,48.927 ns,47.866 ns,48.155 ns,49.055 ns,47.946 ns,48.251 ns,49.119 ns,48.011 ns,48.300 ns,49.191 ns,48.259 ns,48.520 ns,49.328 ns,48.032 ns,48.323 ns,49.191 ns,47.346 ns,47.718 ns,48.729 ns,48.246 ns,48.514 ns,49.319 ns,47.586 ns,47.911 ns,48.890 ns,47.891 ns,48.178 ns,49.097 ns,47.519 ns,47.888 ns,48.861 ns,47.773 ns,48.094 ns,49.033 ns,48.486 ns,48.735 ns,49.479 ns,48.181 ns,48.452 ns,49.257 ns,47.328 ns,47.691 ns,48.711 ns,47.992 ns,48.283 ns,49.149 ns,48.026 ns,48.303 ns,49.179 ns,47.782 ns,48.068 ns,48.994 ns,48.023 ns,48.304 ns,49.181 ns,48.002 ns,48.288 ns,49.145 ns,47.995 ns,48.289 ns,49.144 ns,48.087 ns,48.364 ns,49.201 ns,48.147 ns,48.410 ns,49.227 ns,47.923 ns,48.214 ns,49.104 ns,48.101 ns,48.367 ns,49.188 ns,47.191 ns,47.521 ns,48.599 ns,48.235 ns,48.488 ns,49.292 ns,47.669 ns,47.966 ns,48.924 ns,47.725 ns,48.039 ns,48.971 ns,48.246 ns,48.504 ns,49.305 ns,47.478 ns,47.827 ns,48.833 ns,47.847 ns,48.160 ns,49.032 ns,48.259 ns,48.511 ns,49.314 ns,48.247 ns,48.523 ns,49.318 ns,47.945 ns,48.214 ns,49.081 ns,48.239 ns,48.518 ns,49.306 ns,47.820 ns,48.133 ns,49.053 ns
Clock Recovery: 'sopc_clk': Per-clock Edge TNS,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns
Clock Recovery: 'sopc_clk': Per-clock Keeper TNS,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns
Clock Recovery: 'sopc_clk': Worst-case Slack,4.578 ns,5.175 ns,7.260 ns,5.310 ns,5.846 ns,7.680 ns,4.375 ns,5.005 ns,7.135 ns,5.243 ns,5.791 ns,7.665 ns,5.844 ns,6.335 ns,8.046 ns,5.706 ns,6.180 ns,7.954 ns,4.719 ns,5.278 ns,7.300 ns,4.871 ns,5.406 ns,7.453 ns,3.571 ns,4.272 ns,6.602 ns,4.903 ns,5.481 ns,7.465 ns,4.723 ns,5.296 ns,7.276 ns,4.358 ns,4.979 ns,7.040 ns,4.485 ns,5.084 ns,7.178 ns,5.497 ns,6.021 ns,7.820 ns,5.017 ns,5.573 ns,7.511 ns,4.404 ns,4.989 ns,7.087 ns,4.577 ns,5.173 ns,7.265 ns,5.071 ns,5.598 ns,7.531 ns,4.895 ns,5.477 ns,7.445 ns,5.532 ns,6.025 ns,7.821 ns,5.118 ns,5.636 ns,7.546 ns,5.807 ns,6.307 ns,7.968 ns,4.181 ns,4.838 ns,6.975 ns,4.650 ns,5.233 ns,7.301 ns,4.765 ns,5.370 ns,7.353 ns,5.977 ns,6.416 ns,8.119 ns,4.227 ns,4.863 ns,6.978 ns,4.472 ns,5.078 ns,7.155 ns,4.925 ns,5.490 ns,7.451 ns,5.168 ns,5.704 ns,7.661 ns,5.341 ns,5.875 ns,7.717 ns,4.918 ns,5.473 ns,7.445 ns,4.818 ns,5.380 ns,7.379 ns,4.922 ns,5.533 ns,7.423 ns,3.880 ns,4.545 ns,6.794 ns,3.854 ns,4.536 ns,6.838 ns,5.136 ns,5.643 ns,7.571 ns,5.391 ns,5.931 ns,7.711 ns,5.851 ns,6.336 ns,8.026 ns,4.730 ns,5.314 ns,7.282 ns,4.663 ns,5.248 ns,7.280 ns,4.366 ns,4.993 ns,7.105 ns,5.472 ns,5.996 ns,7.816 ns,4.579 ns,5.181 ns,7.263 ns,5.336 ns,5.859 ns,7.717 ns,5.103 ns,5.665 ns,7.543 ns,4.988 ns,5.565 ns,7.492 ns,4.482 ns,5.093 ns,7.220 ns,4.101 ns,4.746 ns,6.871 ns,4.607 ns,5.233 ns,7.257 ns,3.552 ns,4.261 ns,6.637 ns
Clock Recovery: Total Keeper TNS,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns
Clock Removal: 'altera_reserved_tck': Per-clock Edge TNS,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns
